overall_episode,season,episode_in_season,season_episode_code,title,synopsis,theme_tags,episode_type,is_retired,primary_country,all_countries,region,primary_destination,iso2,flag,lat,long,geo_match,original_air_date,air_year,air_month,air_weekday,days_since_premiere,gap_since_prev_episode_d,imdb_tconst,imdb_url,imdb_rating,imdb_votes,imdb_rating_shrunk,imdb_low_votes,image_url,image_source,best_summary,summary_source,best_runtime,watch_url,tvmaze_url,tvmaze_id
88,7,8,S07E08,London: Historic and Dynamic,"Royal tombs in Westminster Abbey; the British Library; Winston Churchill's secret World War II headquarters; the prime meridian at Greenwich, London.",History & Heritage; Religion & Spirituality,Standard,Yes,United Kingdom,United Kingdom,British Isles,London,GB,🇬🇧,51.5074456,-0.1277653,full,2012-11-25,2012,Nov,Sun,4466,7,tt7147610,https://www.imdb.com/title/tt7147610/,8.2,34,8.012011874857272,FALSE,https://i.ytimg.com/vi/Z4EQdSgKXlQ/hqdefault.jpg,ricksteves.com,"Getting up to date in London, we jog with locals in Hyde Park, marvel at cultural treasures in the Victoria and Albert Museum, and nibble through a trendy East End food tour before luxuriating over afternoon tea. Then we celebrate London's regeneration as it turns industrial wastelands into inviting commercial zones and skyscrapers come with ""garden in the sky"" viewing platforms.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/london,https://www.tvmaze.com/episodes/525338/rick-steves-europe-7x08-london-historic-and-dynamic,525338
89,7,9,S07E09,North England's Lake District and Durham,Hiking through the Cumbria Lake District; cricket; hiking Hadrian's Wall; Durham Cathedral.,Art & Architecture; Nature & Outdoors; Religion & Spirituality; Modern Life & Urban,Standard,No,United Kingdom,United Kingdom,British Isles,Lake District and Durham,GB,🇬🇧,54.9510598,-1.5956759,full,2012-12-02,2012,Dec,Sun,4473,7,tt7147620,https://www.imdb.com/title/tt7147620/,8,32,7.8910122989593185,FALSE,https://i1.ytimg.com/vi/e6csatGWw0s/maxresdefault.jpg,ricksteves.com,"Hiking through the Cumbrian Lake District — England's green and pristine mountain playground — we'll admire idyllic lakes, discover misty waterfalls, tour a slate mine, and conquer stony summits. And we'll meet the locals — and their beloved dogs and sheep — everywhere. Then we play a little cricket, hike Hadrian's Wall, and get dazzled by Durham's Norman cathedral.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/north-englands-lake-district-and-durham,https://www.tvmaze.com/episodes/525339/rick-steves-europe-7x09-north-englands-lake-district-and-durham,525339
90,7,10,S07E10,Venice: City of Dreams,"Monuments of Venice, Italy; cruising the Grand Canal; masterpieces of the Venetian Renaissance; a moonlight gondola ride in the city of Casanova.",Art & Architecture,Standard,No,Italy,Italy,Mediterranean,Venice,IT,🇮🇹,45.4046171,12.3105232,full,2012-12-09,2012,Dec,Sun,4480,7,tt7147622,https://www.imdb.com/title/tt7147622/,7.9,26,7.825933774834437,FALSE,https://i1.ytimg.com/vi/uxhKZGcPxkc/maxresdefault.jpg,ricksteves.com,"Venice, more than any other European city, has an endlessly seductive charm. For centuries, it was nicknamed La Serenissima, ""The Most Serenely Beautiful One"" — and for good reason. After sorting through the monuments of Venice's powerful past, we'll cruise the Grand Canal and be dazzled by masterpieces of the Venetian Renaissance. Along the way we'll feast on Venetian treats, get a splash of modern art, then glide on a gondola through this city of elegant decay.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/venice-city-of-dreams,https://www.tvmaze.com/episodes/525340/rick-steves-europe-7x10-venice-city-of-dreams,525340
91,7,11,S07E11,Venice and Its Lagoon,Italy: Venice's art treasures and lagoon; glass in Murano; lace in Burano; Torcello.,Art & Architecture; Industry & Crafts,Standard,No,Italy,Italy,Mediterranean,Venice Lagoon,IT,🇮🇹,45.5013912,12.3262886,full,2012-12-16,2012,Dec,Sun,4487,7,tt7147624,https://www.imdb.com/title/tt7147624/,8,25,7.875442627382078,FALSE,https://i1.ytimg.com/vi/VYlteN70iuI/maxresdefault.jpg,ricksteves.com,"Join us as we trace the life of Venice, once Europe's most powerful city, from its early beginnings to its superpower heyday to its hedonistic decline. We'll start by cruising its lagoon, stopping in fiery Murano for glass, pastel Burano for lace, and murky Torcello for a sense of where Venice was born. Along with sampling the sumptuous art treasures and exploring its back-street wonders, we'll luxuriate in a venerable café and savor fresh fish canalside with Venetian friends. Get intimate with the decadent city of Casanova as we become as anonymous as possible in this city of masks.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/venice-and-its-lagoon,https://www.tvmaze.com/episodes/525341/rick-steves-europe-7x11-venice-and-its-lagoon,525341
92,7,12,S07E12,European Travel Skills Part I,"Practical tips on transportation by train and car within Europe, changing money, and settling in upon arrival; visits the Netherlands and Germany.",Modern Life & Urban; Travel Logistics,Travel Skills,No,Multiple,Multiple,Multi-Region,Various,ZZ,🌍,NA,NA,NA,2012-12-23,2012,Dec,Sun,4494,7,tt7147626,https://www.imdb.com/title/tt7147626/,7.7,26,7.721933774834437,FALSE,https://i1.ytimg.com/vi/uz0UCZkPqbA/maxresdefault.jpg,ricksteves.com,"In this first of three shows covering travel skills, we'll visit the Netherlands and Germany to learn about transportation by train and car within Europe, changing money, and settling in upon arrival. How well you're able to enjoy the delights of Europe depends upon how well you plan and how skillfully you travel.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/european-travel-skills-part-1,https://www.tvmaze.com/episodes/1033536/rick-steves-europe-7x12-european-travel-skills-1,1033536
93,7,13,S07E13,European Travel Skills Part II,"Travel skills focusing on trip planning, packing, safety, and connecting with locals; visits Venice, Siena, and the Cinque Terre.",Travel Logistics,Travel Skills,No,Multiple,Multiple,Multi-Region,Various,ZZ,🌍,NA,NA,NA,2012-12-30,2012,Dec,Sun,4501,7,tt7147630,https://www.imdb.com/title/tt7147630/,8,24,7.872847682119205,FALSE,https://i1.ytimg.com/vi/sZPjdzZ_9bQ/maxresdefault.jpg,ricksteves.com,"In this second of three shows focusing on travel skills, we'll visit Venice, Siena, and the Cinque Terre in Italy to learn about trip planning, packing, safety, and — perhaps the most rewarding skill of all — connecting with the locals. Going beyond the sights, Rick shares some practical tips to help make European travel fun and hassle-free.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/european-travel-skills-part-2,https://www.tvmaze.com/episodes/1058315/rick-steves-europe-7x13-european-travel-skills-2,1058315
94,7,14,S07E14,European Travel Skills Part III,"Tips for finding the best accommodations, getting around in big cities, and enjoying Europe's cuisine; visits the Swiss Alps, Paris, and London.",Food & Cuisine; Nature & Outdoors; Travel Logistics,Travel Skills,No,Multiple,Multiple,Multi-Region,Various,ZZ,🌍,NA,NA,NA,2013-01-06,2013,Jan,Sun,4508,7,tt7147628,https://www.imdb.com/title/tt7147628/,8,23,7.870142313653656,FALSE,https://i1.ytimg.com/vi/Zd6tgY681e4/maxresdefault.jpg,ricksteves.com,"In this third of three shows focusing on travel skills, we'll visit the Swiss Alps, Paris, and London while covering tips for finding the best accommodations, getting around in big cities, and enjoying Europe's cuisine. This information is key to making the most of your travel time and, if you're on a budget, can help you cut the cost of your travels in half.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/european-travel-skills-part-3,https://www.tvmaze.com/episodes/1071201/rick-steves-europe-7x14-european-travel-skills-3,1071201
95,8,1,S08E01,Western Turkey,The streets of ancient Ephesus; natural spa at Pamukkale; lunch in a Turkish pizzeria; cruising the Mediterranean on a traditional Turkish gulet.,History & Heritage; Nature & Outdoors,Standard,No,Turkey,Turkey,Beyond Europe,Western Turkey,TR,🇹🇷,-16.963881400000002,128.267782,full,2014-10-05,2014,Oct,Sun,5145,637,tt7147692,https://www.imdb.com/title/tt7147692/,7.5,26,7.617933774834437,FALSE,https://i.ytimg.com/vi/tMIX4-YdtaI/maxresdefault.jpg,ricksteves.com,"From the port of Kuşadası, we wander the streets of ancient Ephesus, soak in a natural spa at Pamukkale, learn why the dervishes whirl at Konya, munch lunch in a Turkish pizzeria, and cruise the Mediterranean on a traditional Turkish gulet from Antalya. Turkey is a mighty nation whose ancient heritage, Muslim faith, and western ways are coming together…and we'll see how.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/season-8/western-turkey,https://www.tvmaze.com/episodes/525342/rick-steves-europe-8x01-western-turkey,525342
96,8,2,S08E02,Central Turkey,Aerial view of Cappadocia; underground city; circumcision party; exploring troglodyte ghost towns; shopping for sheep; the modern capital of Ankara.,Modern Life & Urban,Standard,No,Turkey,Turkey,Beyond Europe,Cappadocia and Ankara,TR,🇹🇷,38.6386124,34.8455184,simple,2014-10-12,2014,Oct,Sun,5152,7,tt7147690,https://www.imdb.com/title/tt7147690/,7.3,19,7.548760203295856,FALSE,https://i.ytimg.com/vi/wtnP15YDgB0/maxresdefault.jpg,ricksteves.com,"We marvel at the fascinating landscape of Cappadocia from high above in a balloon…and from deep below, prowling an underground city where Christians once hid out. We'll join a circumcision party, explore troglodyte ghost towns, shop for sheep at the market, and chat with an imam. Then we enjoy the modern capital, Ankara, and pay our respects to the father of modern Turkey, Atatürk.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/season-8/central-turkey,https://www.tvmaze.com/episodes/525343/rick-steves-europe-8x02-central-turkey,525343
97,8,3,S08E03,France's Loire: Chateau Country,"Touring four castles -- Chenonceau, Chambord, Cheverny and Villandry; feeding hunting dogs; local cuisine; a princely garden.",Food & Cuisine,Standard,No,France,France,Western Europe,Loire Valley,FR,🇫🇷,47.4492772,-0.349549,full,2014-10-19,2014,Oct,Sun,5159,7,tt7147696,https://www.imdb.com/title/tt7147696/,7.6,20,7.679470198675497,FALSE,https://i.ytimg.com/vi/LS9ANdUpTuQ/maxresdefault.jpg,ricksteves.com,"Along the Loire River Valley, the beautiful French countryside is studded with evocative châteaux. Home-basing in Amboise, we visit four unique castles: elegant Chenonceau, massive Chambord, stately Cheverny, and fragrant Villandry. Along the way, we tour Leonardo’s home, feed hunting dogs, enjoy the local cuisine, and savor a princely garden.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/season-8/frances-loire-chateau-country,https://www.tvmaze.com/episodes/525344/rick-steves-europe-8x03-frances-loire-chateau-country,525344
98,8,4,S08E04,Paris Side-Trips,Exploring Versailles; Vaux-le-Vicomte; Fontainebleau; the glass and statuary of Chartres cathedral.,Art & Architecture; Religion & Spirituality; Industry & Crafts,Standard,No,France,France,Western Europe,Versailles and Chartres,FR,🇫🇷,48.8035403,2.1266886,simple,2014-10-26,2014,Oct,Sun,5166,7,tt7147700,https://www.imdb.com/title/tt7147700/,8.1,31,7.94539434075858,FALSE,https://i.ytimg.com/vi/YW5p6EKpER4/maxresdefault.jpg,ricksteves.com,"Side-tripping from Paris into the Ile de France, we indulge in the world of royal and aristocratic extravagance in the pre-Revolutionary playground of France's elite. We explore Versailles, Europe's palace of palaces; exquisite Vaux-le-Vicomte; and extravagant Fontainebleau, home to centuries of French rulers. We'll also marvel at the glass and statuary of Chartres Cathedral…and dine like kings.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/season-8/paris-sidetrips,https://www.tvmaze.com/episodes/525345/rick-steves-europe-8x04-paris-side-trips,525345
99,8,5,S08E05,The Best of Israel,Religious tradition in Jerusalem; Tel Aviv; Masada; pilgrims visit biblical sites around the Sea of Galilee; Yad Vashem Holocaust memorial.,Art & Architecture; History & Heritage; Religion & Spirituality,Standard,No,Israel,Israel,Beyond Europe,Israel,IL,🇮🇱,30.8124247,34.8594762,full,2014-11-02,2014,Nov,Sun,5173,7,tt4129634,https://www.imdb.com/title/tt4129634/,7.7,28,7.721090168110036,FALSE,https://i.ytimg.com/vi/qeVvuph2WAQ/maxresdefault.jpg,ricksteves.com,"We start in Jerusalem, alive with religious tradition and passion — Christian, Muslim, and Jewish. We then visit cosmopolitan Tel Aviv, with its in-love-with-life beaches; ponder the sad fortress of Masada; and join pilgrims at biblical sights around the Sea of Galilee. We'll also pay our respects at the Yad Vashem Holocaust memorial, drop into an Orthodox Jewish neighborhood, and savor the local cuisine.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/season-8/the-best-of-israel,https://www.tvmaze.com/episodes/525346/rick-steves-europe-8x05-the-best-of-israel,525346
100,8,6,S08E06,Palestine,Jerusalem; harvesting olives near Ramallah; pilgrimage to Bethlehem; Abraham's tomb in Hebron.,History & Heritage; Religion & Spirituality,Standard,No,Palestine,Palestine,Beyond Europe,Palestine,PS,🇵🇸,31.5197847,35.0494777,full,2014-11-09,2014,Nov,Sun,5180,7,tt4148652,https://www.imdb.com/title/tt4148652/,7.6,28,7.667244014263881,FALSE,https://i.ytimg.com/vi/PLNkP7nJ4hg/maxresdefault.jpg,ricksteves.com,"This time we're venturing beyond Europe to visit the West Bank of the Jordan River — a land its residents call Palestine. After visiting Jerusalem, we harvest olives near Ramallah, follow pilgrims to the site of Jesus' birth in Bethlehem, approach Abraham's tomb — as both Jews and Muslims do — in Hebron, join friends for dinner, and bob in the Dead Sea. We'll also learn about walls, Israeli settlements, and the challenges facing this region.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/season-8/palestine,https://www.tvmaze.com/episodes/525347/rick-steves-europe-8x06-palestine,525347
101,8,7,S08E07,Italy's Riviera: Cinque Terre,"Five port towns along the Italian Riviera include Vernazza, Corniglia, Manarola, Riomaggiore, and Monterosso.",NA,Standard,No,Italy,Italy,Mediterranean,Cinque Terre,IT,🇮🇹,44.1222144,9.7132501,full,2014-11-16,2014,Nov,Sun,5187,7,tt7147702,https://www.imdb.com/title/tt7147702/,7.7,28,7.721090168110036,FALSE,https://i.ytimg.com/vi/WP316ABiTt0/maxresdefault.jpg,ricksteves.com,"Exploring Italy's most remote and romantic stretch of Riviera, we visit five tiny port towns: dramatic Vernazza, surrounded by vineyards; reclusive Corniglia, high on its bluff; pastel Manarola; hardscrabble Riomaggiore; and the pint-sized resort of Monterosso. Fishing for anchovies, sipping wine out of rustic barrels, and savoring twinkling Mediterranean vistas, we enjoy the ultimate Riviera adventure.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/season-8/italys-riviera-cinque-terre,https://www.tvmaze.com/episodes/525348/rick-steves-europe-8x07-italys-riviera-cinque-terre,525348
102,8,8,S08E08,"Italy's Verona, Padova (Padua), and Ravenna","The city of Padua, Italy, is known for its university, Giotto frescoes and basilica; Verona's Roman ruins; Ravenna's mosaics.",History & Heritage; Religion & Spirituality,Standard,No,Italy,Italy,Mediterranean,Veneto and Ravenna,IT,🇮🇹,45.6476663,11.8665254,simple,2014-11-23,2014,Nov,Sun,5194,7,tt7147706,https://www.imdb.com/title/tt7147706/,7.6,27,7.668562524347487,FALSE,https://i.ytimg.com/vi/IULwA0UNJP8/maxresdefault.jpg,ricksteves.com,"In the shadow of Venice, we visit three great cities. Padova (""Padua"" in English) is famed for its venerable university, precious Giotto frescoes, and pilgrim-packed Basilica. Verona is a hit with aficionados of Roman ruins and Romeo and Juliet fans. And Ravenna, with its shimmering mosaics, was once the western bastion of the Byzantine Empire. We enliven each stop with a tasty dose of Italian dolce vita.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/season-8/italys-veneto-verona-padua-and-ravenna,https://www.tvmaze.com/episodes/525349/rick-steves-europe-8x08-italys-veneto-verona-padua-and-ravenna,525349
103,8,9,S08E09,Amsterdam,"Rick Steves takes a look at the rich history, art and culture on offer in Amsterdam, Holland's capital.",Art & Architecture; Modern Life & Urban,Standard,No,Netherlands,Netherlands,Western Europe,Amsterdam,NL,🇳🇱,52.3730796,4.8924534,full,2014-12-07,2014,Dec,Sun,5208,7,tt7147704,https://www.imdb.com/title/tt7147704/,7.6,30,7.664753495217071,FALSE,https://i.ytimg.com/vi/cd8gLq6iZg4/maxresdefault.jpg,ricksteves.com,"Amsterdam — Europe's best-preserved 17th-century city — is simultaneously quaint and jarring, traditional and modern. Filled with history and still happy-go-lucky, it's a delight to explore. Uniquely entertaining Amsterdam shows off its Rembrandts and Van Goghs, more bikes than cars, flirting prostitutes, and pot-filled coffeeshops — all under tall, skinny facades leaning out over placid canals.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/season-8/amsterdam,https://www.tvmaze.com/episodes/525350/rick-steves-europe-8x09-amsterdam,525350
104,8,10,S08E10,The Netherlands: Beyond Amsterdam,"Rick Steves takes a look at the sights outside of Amsterdam, from Haarlem, to Rotterdam, Delft and Zuiderzee.",NA,Standard,No,Netherlands,Netherlands,Western Europe,Netherlands,NL,🇳🇱,52.2434979,5.6343227,full,2014-11-30,2014,Nov,Sun,5201,7,tt7147698,https://www.imdb.com/title/tt7147698/,7.8,34,7.777529116236583,FALSE,https://i.ytimg.com/vi/imjq5yQzNiI/maxresdefault.jpg,ricksteves.com,"By train, bike, and boat, we visit the top Dutch sights outside of Amsterdam: from Haarlem to Rotterdam, and from Delft to the disappeared Zuiderzee. Along the way, we enjoy charming towns with fragrant cheese markets, soggy polderland, mighty dikes, and windmills both new and old. Rolling through the Netherlands and connecting with its people, you can't help but think, ""Everything's so…Dutch!""
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/season-8/the-netherlands-beyond-amsterdam,https://www.tvmaze.com/episodes/525351/rick-steves-europe-8x10-the-netherlands-beyond-amsterdam,525351
105,8,11,S08E11,Prague,"Prague's massive castle, statue-lined bridge, Jewish Quarter and 20th-century history.",Art & Architecture; History & Heritage; Religion & Spirituality,Standard,No,Czech Republic,Czech Republic,Eastern Europe,Prague,CZ,🇨🇿,50.0874654,14.4212535,full,2014-12-14,2014,Dec,Sun,5215,7,tt7147710,https://www.imdb.com/title/tt7147710/,7.9,30,7.831420161883738,FALSE,https://i.ytimg.com/vi/BFKzX7u-3yg/maxresdefault.jpg,ricksteves.com,"The capital of the Czech Republic, Prague is the best-preserved Baroque city in Central Europe. We experience its massive castle, beloved statue-lined bridge, historic Jewish Quarter, and thrilling 20th-century history while enjoying its infectious love of music and perhaps the best beer in Europe. With a beautifully preserved Old Town, Prague deserves its nickname: the Golden City of a Hundred Spires.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/season-8/prague,https://www.tvmaze.com/episodes/525352/rick-steves-europe-8x11-prague,525352
106,8,12,S08E12,Berlin,A reunited Berlin entertains more visitors than ever before.,NA,Standard,No,Germany,Germany,Western Europe,Berlin,DE,🇩🇪,52.5173885,13.3951309,full,2014-12-21,2014,Dec,Sun,5222,7,tt7147708,https://www.imdb.com/title/tt7147708/,8,27,7.88032723022984,FALSE,https://i.ytimg.com/vi/RK5Ku1YtUKY/maxresdefault.jpg,ricksteves.com,"A tumultuous 20th century left Berlin filled with powerful sights — from evocative memorials, to surviving bits of its communist and fascist days, to its glass-domed Reichstag. We enjoy its now-trendy east side, its people-friendly riverfront, and its vibrant social scene. Reunited Berlin — perhaps the fastest changing and most happening city in Europe — is entertaining more visitors than ever.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/season-8/berlin,https://www.tvmaze.com/episodes/525353/rick-steves-europe-8x12-berlin,525353
107,9,1,S09E01,Germany's Hamburg and the Luther Trail,"Germany's port city of Hamburg, post-World War II; historic sites of Martin Luther and the Reformation, including Erfurt, Wittenberg and Wartburg Castle; Wurzburg in Franconia.",History & Heritage; Nature & Outdoors,Standard,No,Germany,Germany,Western Europe,Hamburg and Luther Trail,DE,🇩🇪,53.5501721,10.0013165,simple,2016-10-02,2016,Oct,Sun,5873,651,tt11563750,https://www.imdb.com/title/tt11563750/,8,26,7.877933774834437,FALSE,https://i.ytimg.com/vi/NgCOE9tv8eI/maxresdefault.jpg,ricksteves.com,"Hamburg, Germany's mighty port city, has risen from the ashes of World War II with a gleaming new skyline and a brisk creative energy. From there, we visit the great historic sights of Martin Luther and the Reformation (Erfurt, Wittenberg, and Wartburg Castle) before finishing in the capital of Franconia: wine-loving Würzburg.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/germany-hamburg,https://www.tvmaze.com/episodes/955396/rick-steves-europe-9x01-germanys-hamburg-and-the-luther-trail,955396
108,9,2,S09E02,Germany's Dresden and Leipzig,"The capital city of Dresden, Germany's palaces and art of the Wettin dynasty; Leipzig's Bach heritage, a monument to the day Europe beat Napoleon and museums.",Art & Architecture; History & Heritage; Music & Festivals; Modern Life & Urban,Standard,No,Germany,Germany,Western Europe,Dresden and Leipzig,DE,🇩🇪,51.0493286,13.7381437,simple,2016-10-09,2016,Oct,Sun,5880,7,tt11936192,https://www.imdb.com/title/tt11936192/,7.5,26,7.617933774834437,FALSE,https://i.ytimg.com/vi/xVxVyM5HC7A/maxresdefault.jpg,ricksteves.com,"Saxony, part of the former East Germany, remains a secret to most travelers. We'll visit the two great cities of the region: the capital city of Dresden, with the opulent palaces and art treasures of the Wettin dynasty, and Leipzig, with its Bach heritage, a massive monument to the day Europe beat Napoleon, and museums remembering its communist heritage.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/germany-dresden-leipzig,https://www.tvmaze.com/episodes/955397/rick-steves-europe-9x02-germanys-dresden-and-leipzig,955397
109,9,3,S09E03,Germany's Frankfurt and Nurnberg,"Frankfurt, a global hub for commerce; Nuremberg's towering castle, fountains, Nazi Documentation Center and underground bomb shelters.",History & Heritage,Standard,No,Germany,Germany,Western Europe,Frankfurt and Nurnberg,DE,🇩🇪,50.1106444,8.6820917,simple,2016-10-16,2016,Oct,Sun,5887,7,tt11558694,https://www.imdb.com/title/tt11558694/,8,22,7.867319320472214,FALSE,https://i.ytimg.com/vi/2dqRyrfA1Kw/maxresdefault.jpg,ricksteves.com,"Skyscraper-studded Frankfurt — with so much commerce it's nicknamed ""Bankfurt"" — has a delightful-to-explore old center. We'll also visit Nürnberg, a capital for both the First Reich (the Holy Roman Empire) and the Third. From its towering castle and playful fountains to its Nazi Documentation Center and maze of underground bomb shelters, Nürnberg is a fascinating study in contrasts.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/germany-frankfurt-nuernberg,https://www.tvmaze.com/episodes/955398/rick-steves-europe-9x03-germanys-frankfurt-and-nurnberg,955398
110,9,4,S09E04,Bulgaria,"The complex history of Bulgaria, from ancient Thracian tombs to medieval Orthodox Christian monasteries to Soviet monuments.",History & Heritage; Religion & Spirituality,Standard,No,Bulgaria,Bulgaria,Eastern Europe,Bulgaria,BG,🇧🇬,42.6073975,25.4856617,full,2016-10-23,2016,Oct,Sun,5894,7,tt11558648,https://www.imdb.com/title/tt11558648/,8.2,27,7.986209583171016,FALSE,https://i.ytimg.com/vi/0uZ038_15Fc/maxresdefault.jpg,ricksteves.com,"Bulgaria, so mysterious to most Americans, has a vivid identity as a crossroads of the Balkans. We'll trace the country's complex history, from ancient Thracian tombs to medieval Orthodox Christian monasteries to Soviet monuments. And we'll enjoy an intimate taste of contemporary culture: the yellow brick road of Sofia; the gregarious craftspeople of the medieval capital, Veliko Tarnovo; and the thriving pedestrian zones of cosmopolitan Plovdiv.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/bulgaria,https://www.tvmaze.com/episodes/955399/rick-steves-europe-9x04-bulgaria,955399
111,9,5,S09E05,Romania,"Romania's capital, Bucharest; Transylvania's fortified churches, cobbled merchant towns and castles; Maramures region of Romania.",Religion & Spirituality; Modern Life & Urban,Standard,No,Romania,Romania,Eastern Europe,Romania,RO,🇷🇴,45.9852129,24.6859225,full,2016-10-30,2016,Oct,Sun,5901,7,tt6178180,https://www.imdb.com/title/tt6178180/,7.8,34,7.777529116236583,FALSE,https://i.ytimg.com/vi/1BK8wJJQiB4/maxresdefault.jpg,ricksteves.com,"We'll tour Romania's vibrant capital, Bucharest, with its ""Little Paris of the East"" architecture and lingering reminders of a brutal communist dictator. Then we'll head into Transylvania, where we'll visit fortified churches, cobbled merchant towns like Sighișoara, and castles made famous by an imported German king and the real-life Dracula. Finally we'll explore Maramureș, where everyday life still feels like an open-air folk museum.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/romania,https://www.tvmaze.com/episodes/955400/rick-steves-europe-9x05-romania,955400
112,9,6,S09E06,Assisi and Italian Country Charm,"Farmhouse inn; making prosciutto and pecorino cheese; hiking down ancient wine cellars; the basilica in Assisi, Italy, the hometown of St. Francis.",Food & Cuisine; History & Heritage; Nature & Outdoors; Religion & Spirituality,Standard,No,Italy,Italy,Mediterranean,Assisi,IT,🇮🇹,43.0711952,12.6146669,full,2016-11-06,2016,Nov,Sun,5908,7,tt11558608,https://www.imdb.com/title/tt11558608/,7.7,20,7.724924744130042,FALSE,https://i.ytimg.com/vi/OKrZ8vkfOs0/maxresdefault.jpg,ricksteves.com,"In the Italian countryside, we'll connect with rustic, traditional culture: enjoying an agriturismo (farmhouse inn), seeing how prosciutto and pecorino cheese are made, and hiking to the bottom of deep and ancient wine cellars. We'll end in Assisi — the hometown of St. Francis — which retains its spiritual aura to this day. Like pilgrims, we'll explore its stony center before trekking to its awe-inspiring basilica, built on the tomb of the beloved saint.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/assisi-and-italian-country-charm,https://www.tvmaze.com/episodes/955401/rick-steves-europe-9x06-assisi-and-italian-country-charm,955401
113,9,7,S09E07,Siena and Tuscany's Wine Country,"The Palio wild horse race in Siena, Italy; Tuscany's wine country.",Food & Cuisine; Music & Festivals,Standard,No,Italy,Italy,Mediterranean,Siena and Tuscany,IT,🇮🇹,43.3359319,11.3002656,full,2016-11-13,2016,Nov,Sun,5915,7,tt11965554,https://www.imdb.com/title/tt11965554/,7.8,24,7.772847682119205,FALSE,https://i.ytimg.com/vi/FUT78N6OQuA/maxresdefault.jpg,ricksteves.com,"Siena, once a proud and independent city-state, retains its confidence and unique traditions. We'll enjoy a front-row seat at its wild horse race — the venerable Palio — and marvel at cultural treasures from the days when it rivaled Florence for leadership of Tuscany. Then we'll head into wine country for a little dolce vita under the Tuscan sun.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/siena-tuscany-wine-country,https://www.tvmaze.com/episodes/955402/rick-steves-europe-9x07-siena-and-tuscanys-wine-country,955402
114,9,8,S09E08,West England,"Cotswold villages boast churches, manor homes and gastropubs; New Age capital of Glastonbury; prehistoric stone circles of Stonehenge and Avebury.",Religion & Spirituality; Modern Life & Urban,Standard,No,United Kingdom,United Kingdom,British Isles,West England,GB,🇬🇧,52.6025265,-2.0357695,full,2016-11-20,2016,Nov,Sun,5922,7,tt11558534,https://www.imdb.com/title/tt11558534/,8.2,24,7.9728476821192045,FALSE,https://i.ytimg.com/vi/lEgPVrSZa6w/maxresdefault.jpg,ricksteves.com,"The quintessence of charming England is the ""West Country"": quaint Cotswold villages with their fine churches, manor homes, and gastropubs; Wells, England's smallest cathedral town; and the New Age capital of Glastonbury, with its legends of the Holy Grail and King Arthur. We'll finish by pondering the dramatic prehistoric stone circles of Stonehenge and Avebury.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/west-england,https://www.tvmaze.com/episodes/955403/rick-steves-europe-9x08-west-england,955403
